,nb_uniq_visitors,nb_visits,nb_users,nb_actions,max_actions,bounce_count,sum_visit_length,Referrers_visitorsFromSearchEngines,Referrers_visitorsFromSocialNetworks,Referrers_visitorsFromDirectEntry,Referrers_visitorsFromWebsites,Referrers_visitorsFromCampaigns,Referrers_distinctSearchEngines,Referrers_distinctSocialNetworks,Referrers_distinctKeywords,Referrers_distinctWebsites,Referrers_distinctWebsitesUrls,Referrers_distinctCampaigns,Referrers_visitorsFromDirectEntry_percent,Referrers_visitorsFromSearchEngines_percent,Referrers_visitorsFromCampaigns_percent,Referrers_visitorsFromSocialNetworks_percent,Referrers_visitorsFromWebsites_percent,nb_conversions,nb_visits_converted,revenue,conversion_rate,nb_pageviews,nb_uniq_pageviews,nb_downloads,nb_uniq_downloads,nb_outlinks,nb_uniq_outlinks,nb_searches,nb_keywords,nb_hits_with_time_generation,avg_time_generation,bounce_rate,nb_actions_per_visit,avg_time_on_site,avg_time_on_site_returning,nb_actions_per_visit_returning,bounce_rate_returning,avg_time_on_site_new,nb_actions_per_visit_new,bounce_rate_new,nb_visits_new,nb_actions_new,nb_uniq_visitors_new,nb_users_new,max_actions_new,nb_visits_returning,nb_actions_returning,nb_uniq_visitors_returning,nb_users_returning,max_actions_returning,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit
2019-02-17,7220,7683,54,112640,6620,4421,877369,4910,89,1986,698,0,15,4,171,181,268,0,0%,0%,0%,0%,0%,3017,1448,0,18.85%,62450,44762,2085,1775,1348,1150,46757,500,13098,0.917,58%,14.7,114,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-02-18,15122,16544,159,264574,11822,8492,2495850,11113,77,3930,1424,0,13,5,466,364,592,0,0%,0%,0%,0%,0%,6472,3049,0,18.43%,146509,108009,6561,5347,2719,2345,108785,500,31112,1.313,51%,16,151,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-02-19,14651,15886,161,266378,26112,7792,2626739,11203,76,3126,1481,0,16,5,460,360,610,0,0%,0%,0%,0%,0%,6195,2848,0,17.93%,144750,100922,6715,5778,2835,2414,112078,500,31206,0.7,49%,16.8,165,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-02-20,13836,15109,148,252650,7377,7456,2381102,10561,70,3108,1370,0,10,5,475,342,597,0,0%,0%,0%,0%,0%,6161,2756,0,18.24%,134947,92682,6465,5505,2651,2255,108587,500,30170,0.702,49%,16.7,158,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-02-21,13995,15210,156,260631,12921,7467,2422113,10537,100,3079,1494,0,13,4,458,361,603,0,0%,0%,0%,0%,0%,6352,2894,0,19.03%,145149,101421,6280,5305,2564,2231,106638,500,29948,0.906,49%,17.1,159,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-02-22,12808,13907,131,240027,7778,7137,2009541,9114,103,3188,1502,0,13,6,404,312,516,0,0%,0%,0%,0%,0%,5695,2475,0,17.8%,137978,100497,5011,4238,2254,1947,94784,500,26194,0.897,51%,17.3,144,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-02-23,5908,6254,53,112900,10449,3495,789460,4200,59,1371,624,0,11,7,152,199,280,0,0%,0%,0%,0%,0%,2663,1218,0,19.48%,63174,44878,1693,1452,1042,907,46991,500,11432,0.835,56%,18.1,126,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-02-24,6263,6664,47,100289,7136,3612,846658,4623,72,1360,609,0,12,5,169,202,315,0,0%,0%,0%,0%,0%,2752,1327,0,19.91%,59530,44120,1983,1674,1154,983,37622,500,12340,0.918,54%,15,127,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-02-25,15352,16728,162,139552,7423,8613,2417530,11162,78,3997,1488,3,14,4,458,349,589,1,0%,0%,0%,0%,0%,4923,2958,0,17.68%,85811,63115,6293,5288,2838,2456,44610,500,31729,0.977,51%,8.3,145,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-02-26,15619,16929,201,216152,6583,8660,2428835,11144,69,4184,1528,4,13,5,456,368,641,1,0%,0%,0%,0%,0%,5835,3142,0,18.56%,111806,82715,6561,5461,2662,2337,95123,500,31744,1.264,51%,12.8,143,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-02-27,14362,15504,232,272720,15688,7814,2456446,10753,73,3264,1414,0,15,6,457,359,583,0,0%,0%,0%,0%,0%,6024,2881,0,18.58%,151181,110389,6308,5331,2463,2169,112768,500,30222,0.802,50%,17.6,158,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-02-28,14339,15579,247,324156,9125,7631,2392903,10698,95,3454,1332,0,16,6,434,339,558,0,0%,0%,0%,0%,0%,6051,2961,0,19.01%,177677,138860,6148,5230,2587,2230,137744,500,29829,0.921,49%,20.8,154,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-01,13117,14279,232,330263,8895,7299,2055381,9271,173,3567,1267,1,12,6,417,334,554,1,0%,0%,0%,0%,0%,6651,2747,0,19.24%,167298,132549,5310,4557,2269,1948,155386,500,26402,0.832,51%,23.1,144,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-03-02,7725,8161,83,96834,6697,4983,897142,4522,157,2875,607,0,13,4,174,192,309,0,0%,0%,0%,0%,0%,2923,1471,0,18.02%,55987,45995,1903,1627,1107,946,37837,500,13771,0.694,61%,11.9,110,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
